1,10200,?????????????,??????,13.7560243,100.4986793
2,10300,?????????????,?????,13.7726943,100.5099262
3,10530,?????????????,???????,13.8559883,100.8619689
4,10500,?????????????,??????,13.7262395,100.5267991
5,10220,?????????????,??????,13.864387,100.6146434
6,10240,?????????????,???????,13.7650282,100.6473885
7,10330,?????????????,???????,13.7401666,100.5352367
8,10100,?????????????,?????????????????,13.7514954,100.5108479
9,10260,?????????????,???????,13.6910654,100.614025
10,10510,?????????????,???????,13.8130488,100.731339
11,10520,?????????????,?????????,13.7277339,100.7486314
12,10120,?????????????,???????,13.7171256,100.5151327
13,10100,?????????????,???????????,13.7380091,100.5098502
14,10400,?????????????,?????,13.7568078,100.5337793
15,10600,?????????????,??????,13.7164911,100.4874338
16,10600,?????????????,??????????,13.7320727,100.4814589
17,10310,?????????????,????????,13.7790391,100.5739529
18,10600,?????????????,???????,13.7279708,100.5087902
19,10170,?????????????,????????,13.7733179,100.4284178
20,10700,?????????????,??????????,13.7604091,100.471573
21,10150,?????????????,???????????,13.5995816,100.4331316
22,10160,?????????????,?????????,13.7207491,100.4577015
23,10160,?????????????,???????,13.7207491,100.4577015
24,10140,?????????????,???????????,13.6812411,100.5037003
25,10700,?????????????,???????,13.7919952,100.5004335
26,10400,?????????????,??????,13.7630761,100.5433408
27,10240,?????????????,???????,13.8038957,100.647812
28,10120,?????????????,????,13.6937454,100.510007
29,10800,?????????????,???????,13.803181,100.5393292
30,10900,?????????????,???????,13.8037421,100.5546027
31,10120,?????????????,?????????,13.6954096,100.5127381
32,10250,?????????????,??????,13.693295,100.645971
33,10110,?????????????,???????,13.7225158,100.5540678
34,10250,?????????????,???????,13.7194781,100.6129534
35,10150,?????????????,??????,13.6955177,100.4453018
36,10210,?????????????,????????,13.9245384,100.6038701
37,10400,?????????????,???????,13.7516381,100.5315687
38,10230,?????????????,????????,13.8289265,100.5943624
39,10110,?????????????,?????,13.7398583,100.5594458
40,10160,?????????????,?????,13.6988894,100.4210604
41,10210,?????????????,???????,13.8841935,100.5774799
42,10220,?????????????,??????,13.9213159,100.683202
43,10230,?????????????,????????,13.793899,100.692192
44,10240,?????????????,????????,13.7676357,100.6928804
45,10310,?????????????,??????????,13.7802488,100.5999507
46,10510,?????????????,?????????,13.8381942,100.7295908
47,10260,?????????????,?????,13.6682906,100.6048034
48,10170,?????????????,????????,13.7648929,100.3343991
